,width,beta_2 at peak,average beta2,gamma at peak,average gamma,dispersive length,nonlinear length,number of soliton periods,N^2,phi_nonlin,dB squeezing,dB anti-squeezing,dB constructive interference,dB destructive interference,phase offset (rad)
0,800,3.21261580008956e-25,1.4988763216972651e-24,2.59858602953682,3.227225167979167,0.04416468873174732,0.0018454730990215716,1.0086840963701795,23.93136413376193,37.91774533862816,-4.9832967042485645,3.6956286200494572,0.8060266945794594,-0.8877321563811258,-0.1262951820538607
1,1000,1.05158270096064e-26,8.847285348974073e-25,2.3586760068002093,2.81949569999683,1.3492441126697408,0.002112348400459565,0.03301716770637266,638.7412760017229,33.12719577071888,-1.8244723074541107,5.461226744141449,0.8060266945794594,-0.8877321563811258,-2.46275605005029
2,1200,-9.208874169530118e-26,1.0549135505424353e-24,2.0915801359227646,2.4785970486542803,0.1540733147327698,0.0024028743337786676,0.2891365011658171,64.12042134990891,29.12186376719378,10.902270199392598,27.372027936081356,0.8060266945794594,-0.8877321563811258,-2.2101656859425676
3,1400,-1.1810095354130778e-25,1.408605316010523e-24,1.8577546434996284,2.198028102024852,0.12013804509717396,0.0027095910313905468,0.3708085903080899,44.33807305433831,25.825365594776674,9.353210204523105,18.896895797203047,0.8060266945794594,-0.8877321563811258,-0.5051807282154437
4,1600,-1.1470519978927021e-25,1.571710709537949e-24,1.6629222062491298,1.9671989920502493,0.12369463379716895,0.0030275316610363498,0.3601467402207742,40.85659462759416,23.11327736009057,6.374932941516368,20.23177748605174,0.8060266945794594,-0.8877321563811258,-1.4523945936194016
5,1800,-1.115002445930893e-25,1.3165032047417905e-24,1.501660582105991,1.7766035735101697,0.12725010365981088,0.003352327621532184,0.35008395171093576,37.95873137293518,20.873908190991852,-2.2663022014443768,19.379693195343787,0.8060266945794594,-0.8877321563811258,2.810067800698408
6,2000,-9.687222693648086e-26,1.9654083391146777e-24,1.3672082313957514,1.617604071486047,0.14646527834926545,0.00368183867546744,0.30415549437336126,39.78047145986658,19.005769987764285,8.247041664662836,17.90073026252845,0.8060266945794594,-0.8877321563811258,-2.083870503888707
7,2200,-8.340991764360954e-26,1.8120241483024803e-24,1.2540039829189673,1.4835620502010858,0.1701046839919992,0.004014498234963388,0.2618870809398059,42.372589059950236,17.43086555339513,5.508718142488897,11.460038715888155,0.8060266945794594,-0.8877321563811258,-0.757771092323166
8,2400,-7.504553940055676e-26,1.8450548532465984e-24,1.157691607799414,1.369360606934666,0.1890641042212246,0.004349297914537629,0.2356249449272865,43.47002848190129,16.089074690444146,0.9031200742082846,7.357801593138481,0.8060266945794594,-0.8877321563811258,0.09472138654039597
9,2600,-6.440454178927209e-26,2.3839213519502775e-24,1.0748730186150868,1.2710680540674728,0.22030150806737447,0.0046856320658301845,0.20221477163573792,47.016390739237906,14.934202689171396,-1.9105028885049948,4.901540951990037,0.8060266945794594,-0.8877321563811258,0.8524924788635619
10,2800,-5.708394482106428e-26,2.1040709216700077e-24,1.0029530878068071,1.185709733979269,0.24855355962241207,0.005022947068169262,0.17922985779213074,49.48361116475066,13.931299304631821,-2.9650902119952303,3.951941350811881,0.8060266945794594,-0.8877321563811258,1.4208207981059369
11,3000,-4.810111190913089e-26,2.0731694840375007e-24,0.9399565966979645,1.110938546086515,0.2949706798746899,0.005361014119971958,0.15102592286046151,55.02143312322274,13.052787668903754,-3.3512680028961346,3.477156478521026,0.8060266945794594,-0.8877321563811258,1.7997063442675199
12,3200,-4.369667048556391e-26,2.209673330986909e-24,0.8843688246032193,1.0448675112736143,0.32470248934074547,0.005700011884503239,0.13719703607847472,56.96523023461091,12.276497034722825,-3.3781539791706354,3.2116215601707654,0.8060266945794594,-0.8877321563811258,2.1154442994021725
13,3400,-3.670985100730282e-26,1.8131082804175418e-24,0.8349482648489458,0.9862959374231203,0.38650164174576274,0.006038509341883164,0.11526010327830953,64.00613460427779,11.588320069761812,-3.3233078956085653,3.002046287073367,0.8060266945794594,-0.8877321563811258,2.3048870724829644
14,3600,-3.0327031925170844e-26,1.8209490239130144e-24,0.7907372647182788,0.9337757314598745,0.46784722347948504,0.006378145234808827,0.09521958645717223,73.35161026534823,10.971242645290166,-3.223468930192517,2.838919594056674,0.8060266945794594,-0.8877321563811258,2.557477436590686
15,3800,-2.6081023995833454e-26,1.951715669342515e-24,0.7509798394624869,0.8866132608966475,0.5440130604086533,0.0067174240389409065,0.08188814274309691,80.98536838749641,10.417115041768536,-3.1027847018469537,2.704413640732258,0.8060266945794594,-0.8877321563811258,2.6837726186445465
16,4000,-2.3172582250505093e-26,1.9724470820678958e-24,0.7149842364111462,0.843922627725841,0.6122933356836231,0.007057231357855863,0.07275633515611417,86.76112552297715,9.915528547904815,-2.9829221518601132,2.5909404154387508,0.8060266945794594,-0.8877321563811258,2.810067800698408
17,4200,-1.9897574655266027e-26,1.9466190916664085e-24,0.6822869563412309,0.8051202891285526,0.7130727200870092,0.00739735082125098,0.06247359896115087,96.39568776953317,9.459626924406848,-2.8718930472368553,2.491143692271741,0.8060266945794594,-0.8877321563811258,2.9363629827522697
18,4400,-1.565826136373962e-26,1.937798196959297e-24,0.6524588588193537,0.7697194529573765,0.9061298283998179,0.007737568810438687,0.04916317479971147,117.10782166839873,9.043690687905045,-2.761870982590446,2.397901492772139,0.8060266945794594,-0.8877321563811258,3.0626581648061304
19,4600,-1.409787667685584e-26,1.8793249838722063e-24,0.6250970059146614,0.73730087938228,1.0064223150609395,0.008077783980104206,0.04426394216244637,124.59138763054126,8.662794049747065,-2.6654385880426528,2.319743305764012,0.8060266945794594,-0.8877321563811258,-3.094231960319595
20,4800,-1.1190909746988949e-26,1.998730481442585e-24,0.5999683874500688,0.7075385886036878,1.2678520337796888,0.008417572310429717,0.03513676514131288,150.61967833751402,8.31310696449682,-2.5723027827270113,2.245081609456735,0.8060266945794594,-0.8877321563811258,-2.967936778265734
21,5000,-7.753850372308687e-27,1.9384809918293982e-24,0.5767896091390341,0.680010893282323,1.8298544595644963,0.00875832621333942,0.02434522533308755,208.92741546638507,7.989674886899192,-2.4837871126412567,2.175226254304902,0.8060266945794594,-0.8877321563811258,-2.904789187238803
