,width,beta_2 at peak,average beta2,gamma at peak,average gamma,dispersive length,nonlinear length,number of soliton periods,N^2,phi_nonlin,dB squeezing,dB anti-squeezing,dB constructive interference,dB destructive interference,phase offset (rad)
0,800,3.21261580008956e-25,1.4988763216972651e-24,2.59858602953682,3.227225167979167,0.04416468873174732,0.0018454730990215716,0.4322931841586483,23.93136413376193,16.250462287983495,-1.4269179422854417,1.3217714225463673,0.8061208990122046,-0.8880557915316712,-1.989149117348311
1,1000,1.05158270096064e-26,8.847285348974073e-25,2.3586760068002093,2.81949569999683,1.3492441126697408,0.002112348400459565,0.014150214731302568,638.7412760017229,14.197369616022373,-1.3456066041120784,1.2506660972426256,0.8061208990122046,-0.8880557915316712,-1.8628539352944502
2,1200,-9.208874169530118e-26,1.0549135505424353e-24,2.0915801359227646,2.4785970486542803,0.1540733147327698,0.0024028743337786676,0.12391564335677874,64.12042134990891,12.480798757368762,-1.2575688457844758,1.1713317580559677,0.8061208990122046,-0.8880557915316712,-1.7365587532405886
3,1400,-1.1810095354130778e-25,1.408605316010523e-24,1.8577546434996284,2.198028102024852,0.12013804509717396,0.0027095910313905468,0.15891796727489563,44.33807305433831,11.068013826332859,-1.1846438541378788,1.1041732855659134,0.8061208990122046,-0.8880557915316712,-1.5471159801597976
4,1600,-1.1470519978927021e-25,1.571710709537949e-24,1.6629222062491298,1.9671989920502493,0.12369463379716895,0.0030275316610363498,0.15434860295176034,40.85659462759416,9.905690297181673,-1.1276117056035717,1.0504957315278638,0.8061208990122046,-0.8880557915316712,-1.420820798105936
5,1800,-1.115002445930893e-25,1.3165032047417905e-24,1.501660582105991,1.7766035735101697,0.12725010365981088,0.003352327621532184,0.15003597930468673,37.95873137293518,8.94596065328222,-1.0835980775971996,1.0083820312157268,0.8061208990122046,-0.8880557915316712,-1.2945256160520753
6,2000,-9.687222693648086e-26,1.9654083391146777e-24,1.3672082313957514,1.617604071486047,0.14646527834926545,0.00368183867546744,0.13035235473144052,39.78047145986658,8.145329994756121,-1.0493341666558573,0.9749175757443852,0.8061208990122046,-0.8880557915316712,-1.231378025025144
7,2200,-8.340991764360954e-26,1.8120241483024803e-24,1.2540039829189673,1.4835620502010858,0.1701046839919992,0.004014498234963388,0.11223732040277394,42.372589059950236,7.470370951455054,-1.0224423983296917,0.94836090954669,0.8061208990122046,-0.8880557915316712,-1.1050828429712833
8,2400,-7.504553940055676e-26,1.8450548532465984e-24,1.157691607799414,1.369360606934666,0.1890641042212246,0.004349297914537629,0.10098211925455135,43.47002848190129,6.895317724476061,-1.00121163879407,0.9268730170578808,0.8061208990122046,-0.8880557915316712,-1.041935251944352
9,2600,-6.440454178927209e-26,2.3839213519502775e-24,1.0748730186150868,1.2710680540674728,0.22030150806737447,0.0046856320658301845,0.08666347355817339,47.016390739237906,6.400372581073455,-0.9841630196113592,0.9095516807697318,0.8061208990122046,-0.8880557915316712,-0.9787876609174226
10,2800,-5.708394482106428e-26,2.1040709216700077e-24,1.0029530878068071,1.185709733979269,0.24855355962241207,0.005022947068169262,0.07681279619662745,49.48361116475066,5.970556844842208,-0.9703204293327433,0.8952627906731587,0.8061208990122046,-0.8880557915316712,-0.9156400698904932
11,3000,-4.810111190913089e-26,2.0731694840375007e-24,0.9399565966979645,1.110938546086515,0.2949706798746899,0.005361014119971958,0.06472539551162636,55.02143312322274,5.594051858101608,-0.9588509375308492,0.8834932914373695,0.8061208990122046,-0.8880557915316712,-0.8524924788635619
12,3200,-4.369667048556391e-26,2.209673330986909e-24,0.8843688246032193,1.0448675112736143,0.32470248934074547,0.005700011884503239,0.05879872974791773,56.96523023461091,5.261355872024067,-0.9495722885497548,0.8736347568758113,0.8061208990122046,-0.8880557915316712,-0.8524924788635619
13,3400,-3.670985100730282e-26,1.8131082804175418e-24,0.8349482648489458,0.9862959374231203,0.38650164174576274,0.006038509341883164,0.0493971871192755,64.00613460427779,4.966422887040776,-0.9417105933780824,0.8653304565412536,0.8061208990122046,-0.8880557915316712,-0.7893448878366307
14,3600,-3.0327031925170844e-26,1.8209490239130144e-24,0.7907372647182788,0.9337757314598745,0.46784722347948504,0.006378145234808827,0.04080839419593095,73.35161026534823,4.701961133695785,-0.935036956152191,0.8582078321099298,0.8061208990122046,-0.8880557915316712,-0.7261972968097012
15,3800,-2.6081023995833454e-26,1.951715669342515e-24,0.7509798394624869,0.8866132608966475,0.5440130604086533,0.0067174240389409065,0.0350949183184701,80.98536838749641,4.4644778750436585,-0.9294072539730194,0.8521800614983316,0.8061208990122046,-0.8880557915316712,-0.7261972968097012
16,4000,-2.3172582250505093e-26,1.9724470820678958e-24,0.7149842364111462,0.843922627725841,0.6122933356836231,0.007057231357855863,0.0311812864954775,86.76112552297715,4.249512234816349,-0.9246267141373468,0.8470130223304817,0.8061208990122046,-0.8880557915316712,-0.66304970578277
17,4200,-1.9897574655266027e-26,1.9466190916664085e-24,0.6822869563412309,0.8051202891285526,0.7130727200870092,0.00739735082125098,0.026774399554778942,96.39568776953317,4.054125824745792,-0.92053013127058,0.8425175936021563,0.8061208990122046,-0.8880557915316712,-0.66304970578277
18,4400,-1.565826136373962e-26,1.937798196959297e-24,0.6524588588193537,0.7697194529573765,0.9061298283998179,0.007737568810438687,0.021069932057019198,117.10782166839873,3.8758674376735907,-0.916966819288268,0.8386321304035776,0.8061208990122046,-0.8880557915316712,-0.5999021147558388
19,4600,-1.409787667685584e-26,1.8793249838722063e-24,0.6250970059146614,0.73730087938228,1.0064223150609395,0.008077783980104206,0.018970260926762725,124.59138763054126,3.7126260213201703,-0.9138032479358176,0.8352739746606159,0.8061208990122046,-0.8880557915316712,-0.5999021147558388
20,4800,-1.1190909746988949e-26,1.998730481442585e-24,0.5999683874500688,0.7075385886036878,1.2678520337796888,0.008417572310429717,0.01505861363199123,150.61967833751402,3.5627601276414937,-0.9110740194913101,0.8323148497151605,0.8061208990122046,-0.8880557915316712,-0.5999021147558388
21,5000,-7.753850372308687e-27,1.9384809918293982e-24,0.5767896091390341,0.680010893282323,1.8298544595644963,0.00875832621333942,0.010433667999894662,208.92741546638507,3.4241463800996534,-0.90875364236245,0.8296444743393628,0.8061208990122046,-0.8880557915316712,-0.5367545237289093
